msno,city,bd,gender,registered_via,registration_init_time,expiration_date,user_id_encoded
ho3RzdagLWE++cUCO4sd6jksHBRnNoi+6h7nIaz1TIE=,1,0.26,0,7,20110105,20170916,3558
FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,0.2,0,9,20161001,20171003,1333
Cychp8L68FflRldqWf84NAbQAqQcVLcfh1Zub/4DSs8=,13,0.28,0,7,20110304,20171004,1134
azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,0.06,0,9,20150610,20170912,3037
L44uPD05aJBXh2nACyDYIJmxtAS9PExvvv3Vl85+5WY=,1,0.26,0,7,20160410,20170910,1766
DqmjAPxfipuYrDIOnUfY2MM0LGvSuZsikxxXe7ji0IU=,1,0.26,0,9,20140924,20170913,1196
JGkmdNK3J94u9RNikKNBNmW6cifEMdhXnKV4ZIl7mvs=,1,0.26,0,7,20140912,20170916,1618
yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,0.2,0,4,20160605,20170927,4860
BrjHr2sDwLNsKLfAoTZwx6D7+W55aC2+H+UHWLFzVRI=,13,0.52,1,3,20130317,20170915,1044
7s/hbVRK/XvFCUxi/aZgXO8vho8gBFZkdX34ucu8vs8=,13,0.18,0,9,20110606,20170425,737
t7o/aCHSCTmGY/pHljApIi0skmvXDfgBv6D2rdexwv4=,6,0.26,0,3,20131021,20170916,4475
vyoxo0c6XWEPvhndjGPS1unkM5HiCCFyl0wvXISSBek=,8,0.12,0,9,20161124,20180115,4685
FtCJaSTuuhthFdPUkx6916iNmrGRw/mLDR3doFj/NCw=,1,0.26,0,7,20151112,20170926,1352
1xpnSco1U5SYdmvWELnKp4sdORU38GOh/9DbzITOA/U=,1,0.26,0,7,20160305,20171005,287
Ty59+gs+lfVbfm1T/SDqLmbFhtkAP4Mm75uYiaKZ6kk=,13,0.24,0,7,20150107,20180125,2440
uyT/naa8TIRJ/YewI2K4WLm71KLxPcFQ1RSTpUb244A=,1,0.26,0,7,20131224,20170923,4615
jZT8GCxphSuw5u/3Dpxpd5cZDeTddnyGnG3R0ZVBnvg=,14,0.3,0,7,20101125,20171002,3684
ytDrCpg3APhJz3lScwvMZqZTYZ3fOIoyoAf3cNDqJMs=,1,0.26,0,9,20150621,20170921,4899
nGNt0huNRIKmHPJ57BT4I+f7wq1Sr+c2BgdwLiHtL8E=,13,0.2,0,9,20110520,20171027,3987
gaYdxoXSGQvFL9Uqb6QB7uPxyS/ITYM/TO7nbZd+8nI=,5,0.22,0,9,20120605,20170918,3459
Fx2ZL4cdzlaxn1WOgqLSPevk0zNqAwidku68yb51Ezw=,4,0.08,0,7,20150901,20170916,1359
L+5bpBfapgPhtiVliPhp1Oi1OGyckxtZUxEXGMtlqDE=,5,0.18,0,3,20130604,20170930,1757
U9Z+N+szYGJHTPMn/C0V7yIyIC24fDI0RDRWChXATkg=,13,0.18,0,7,20160418,20170917,2455
JoGt+PgRGKHAhTQnaRqQygBWdDwGE6gdPbeGiGP4/Lc=,1,0.26,0,7,20130807,20171001,1663
OpETxCCwWpLgcku7X9FFkafHsrwSsUlBTw3q4eTM2I4=,4,0.38,0,9,20111003,20171002,2047
EB2/oHHMbHWUsCuS3vjHLknly8hpx+3v6iUyO2URXQI=,22,0.18,0,4,20151028,20171013,1218
W30MtdCWtu8FZGGZIQ14yT+I0iUxaqEZ3AJPUW3VfYk=,22,0.14,0,9,20141018,20180406,2619
AEp2lzdXR5cH5yQJNYubd+ARPkEgikRg6rJnQIEogsE=,22,0.2,0,7,20141216,20170917,922
OLeskcFfyOuaiI7nsBaiXCSVcKPDpuu8LECfcePxR6Q=,15,0.26,0,3,20131211,20171027,2006
py6Klyqzwd88aAUkh7THPWMTsBIV8CwsKxt4WIw+v6w=,18,0.08,0,9,20111012,20180929,4212
OtoN9o6WYB5Ua/K8Dhd3Mlb92ZPdpkCcdXL7wwVMAnU=,16,0.1,0,7,20160117,20170916,2054
6v5+L55rU1oM5dj+I6ulgLSicc0Vq1mxDpOpgK3EJRg=,1,0.26,0,7,20160210,20170909,672
xyxz9lf8ipoxELeDLlazmHVZHE1ZYqE6iwfJWkH3Ojc=,1,0.26,0,7,20120117,20171004,4827
kJTiR7qexamZlCyPNrGoRpI17vuswnw0e7kngDAR0x4=,22,0.16,0,9,20110125,20171004,3738
c/psxvgO92sHAis8cXasKoe0l/h+3625tvoEVf/a1jU=,15,0.26,0,9,20141004,20170204,3118
+boPBM5G5+vAfbO6zTy7A2FrVQyl91aBPGHkQ6ciNYc=,6,0.16,0,3,20140104,20171012,41
V3KDdi9jEtl9DR5TC+K+/W8FiY8YhfJJZK02/RSnRrc=,1,0.26,0,7,20131206,20170919,2535
N9u0iiKsqZYNdmI12834pcyIc7xkifUUHyrb69T0jaU=,13,0.06,0,3,20150501,20170915,1916
7l3cRaqvcKOps5r0tqsBQJN4uN3D3vl6gLT087QGKWg=,18,0.2,0,4,20151015,20171030,729
6xHjGVHyGCWdBTpF5eifgQKSMHVSmR9yy3sOkROP9jk=,1,0.26,0,7,20160304,20171001,677
a5YUJT3jy2MdqMFUIvE50TLABBoj98wuzEeAeAAPLL8=,22,0.26,0,9,20110210,20170924,2964
5qUfdDPRmsPlbczRDXHc2WHNE984GTltnJLI+0KHSLg=,1,0.26,0,7,20160604,20171003,582
1EWkWuqJSss26wISV+DtcTymbIgDFhYNWgqE+AiXmuw=,5,0.2,0,9,20060712,20171014,242
ph1/0iDeAnXNyEuGASqhQAHuoOCH2/Bwt+IxQLRv5Sw=,1,0.26,0,7,20101108,20171006,4192
B7h2cLrN4mDgYLEVoLG4iyvPekN6bme2B+1eGXOqHzY=,5,0.08,0,4,20161211,20171001,989
Kr3rDrFJp1YzOHY6qGljBkj+cz8T1c7hmT/KH6Ffuw8=,13,0.28,0,9,20051020,20170930,1747
PqpWt7FyY7LUHVdrFveiVyR2F4MjzLdubM7mJCgN8mc=,1,0.26,0,4,20151115,20171101,2124
UFcuNKrdpC5WYOsrjjZRVUUoAL0wf1GUzmRyUV0Uq20=,4,0.18,0,9,20130419,20180115,2468
l49SPru9KzNKnBIziaT8bLbSgkIaMiFIq4K1ixT7VF8=,1,0.26,0,7,20150903,20170909,3799
CpJvTEKW2m4dZzyDHWcP5S57RZoR7OUwdWmC+ujEOtM=,13,0.24,0,9,20131217,20170919,1125
KkPIBceGSyv832hTJMiuaBsIF+B11YSa5R84NugeffM=,15,0.1,0,3,20150708,20170915,1741
T61ImDLmkF/b0rQqsVX2s/crJp3yaiioz9zgSCDnarM=,5,0.16,0,9,20141002,20171024,2362
fMG4AaZOizCkbKlq+3PInJtVGmaqsxRWnK8HUT8iVD4=,1,0.26,0,7,20160203,20171003,3361
RxFRiv9sWnrCD0yPFQYfvrSgwAnZ4cx0CbwxEg5BFMc=,1,0.26,0,9,20141227,20170225,2280
5pr+x566HOsYLEv4ouZ5cEHFFwBB74xaFbExdPGJ6b0=,5,0.46,0,9,20070128,20180628,580
JdTmma4GxKesBf/q1IsgVhqvodkJFQT0+4cJ+4A5+g0=,1,0.26,0,7,20140527,20170305,1647
2gAxVVi8YBvVb84Myvip0QdirToSEltJmgHq80sVdRg=,1,0.26,0,7,20150910,20170930,349
yYP0aS8f6NtuzQv0B/2bOTDZPLQnKOAshwspTOAZJlk=,4,0.24,0,9,20130203,20180518,4866
yogEoReXj7MJSTRhtuBNKyUaaT9homd7Phdf0yujUQc=,22,0.16,0,4,20151226,20170808,4890
N/PrR1so56cCQxAozKwWaT9+cpR2GgKAxiYUc34HMac=,1,0.26,0,7,20110721,20171024,1904
NcvrUphnvjdsc8FaQ5lgesNGT7xccFnNGQu6hXvtK4k=,1,0.26,0,7,20151108,20171001,1954
4aRFGkKzGUpqTbjojytAtRQNdx0egL02hjJhSqq0+NA=,1,0.26,0,3,20160216,20170913,502
WNOxasdyszmmWsE4YgpxbNUmkWcDnR/jl2hzIsQZtSQ=,22,0.22,0,9,20150305,20171116,2649
peO68YRppADufdMHTzagDswzeHjsof+W5DE595fpg1s=,5,0.08,0,3,20140809,20170718,4188
yM5j0PzwzE3kjlydsTKe+29D5cDjJYPqXpy0PRrG8KM=,4,0.22,0,7,20131204,20170920,4853
5LbuSqfyljnN//xFe4AFcwxrZVIc+bMnOje9GfeuIps=,1,0.26,0,7,20131227,20170914,556
B2Jg5ztcPJDRDy83Ixt8/qMLPnuExIKPqr6s0zpD12o=,1,0.26,0,7,20140710,20170917,980
VWFXZYmYxm1iTsYv5AbpwhA3vRF8g9GhpsAAhyM/KZM=,22,0.08,0,3,20120721,20171004,2573
5E21baHKkizqVjCG0pquktgk/n0U4lgqTo+aAboDV1U=,1,0.26,0,7,20100522,20170922,544
FBn5lX1m8BNAFevy7oiAe8JBxi20akyXBW7zG0MBVbQ=,5,0.28,0,9,20070607,20171221,1298
6xBMiheXaVGwmNH2cZe03EBvIma0r/vJ2A43S/OYncg=,12,0.22,0,9,20091205,20171007,676
Coyd3oh4nw4OwU583pJZOeXnnnqw9KTtWzI7/oeJft8=,14,0.5,1,9,20070820,20171002,1124
Vws8bNFbMLrS3d2XFSGZrMLPUi8rQjviVDfbv959qMI=,10,0.18,0,9,20130130,20171120,2608
liQlBFoxYy5vIvPO9UGdE0XSN3tEhjAMmFay65FtvGs=,5,0.16,0,9,20110924,20171122,3850
VGdjf/QPMM4eQToH4yW21XhUYDYsFGEQiWch4TR5mDs=,1,0.26,0,7,20151026,20170930,2556
2TPc6VVjDRv+rUAFZp+Fz/SxsX1klrSBl7HXobrtp1E=,14,0.24,0,9,20110101,20170302,336
quKx+v+fVOOoULJGYb8hZ9cU+jxgMO2afVcBy3slVNo=,5,0.12,0,9,20110611,20180422,4274
fHwJYVqvkAPptzsQPCPwb4kkpqcFWwiII5+LvM4NoAM=,13,0.18,0,7,20121027,20171006,3356
bcdK8N6SXxzv9Zvt1bgqiJhoXO36sY1XtiqlCvWAEio=,1,0.26,0,7,20120926,20170910,3078
le00ECAkJW1Dr+fnExmA5AoQs5XyTgVUYufn7MtMJiw=,13,0.08,0,4,20151107,20171201,3843
tY18B+TAlSe5+xKVOf7HegIXn+OeLrPVwFal5zk9nN8=,5,0.26,0,4,20160419,20170923,4510
ptxtPfr+rXR2vKUi2km386T2taX6hztxe7yYwhdXKm0=,6,0.3,0,9,20110711,20170414,4206
/rUZFrV2yC+UKbqVgz9lfO6oLtLKRT04gevIgMDb6iQ=,1,0.26,0,7,20151115,20170212,130
l1iZ+IEGcrSv7LxJ7m8sZpPEDo1Z/AjtjoC9mzaZPys=,15,0.1,0,3,20120114,20190309,3796
FSAVVuTXZ97B/VYy4+EEyMYWolI6TYUGT7i7CZCgd5c=,13,0.34,0,9,20090523,20171030,1316
pHJkzf3z96NcTutavgLfcvk09Jh6a8lzTwW6LWceCrk=,13,0.4,0,9,20070222,20170930,4149
9xkPdOzQFV4YXG5an+h103IBRy6CUb1+pzlIMVXKMV0=,22,0.2,0,9,20110515,20170901,899
s4akfXF0PdkG8sibtldCHl85ktvYyrPRYPlETS1EKtc=,11,0.36,0,9,20100403,20170912,4386
UGX+2jh3WO5XRuVOPuPCiIetzHlBjh0DPOLPeJSe36E=,13,0.24,0,3,20150116,20170930,2470
9rCr7Jvk+xx4yPyqoXHISPBN7T9Dxgajlu+ab8JL8Qw=,4,0.24,0,9,20100511,20171003,885
haJSPOFr0iRHJOxaEFssIk8XO9oKirW13l27oAxbrV0=,1,0.26,0,7,20130511,20170917,3540
Nv6bmZWT0VkL+Dzt3o0X2+djgx4MpWaYdsw4yNZIUWw=,22,0.1,0,9,20150508,20180203,1974
ZgcpnhSi72XWaZHy1iGk3C6p0vGrvCr1A4mG6L7Fy8Y=,5,0.18,0,3,20120813,20171029,2936
XNp/eefHpK2QonEVKOWkNtp2qBwOcMXlybKBIXpnhxo=,1,0.26,0,7,20140211,20170917,2742
D3Iln3a2rXnZP0hvSjwGwOb/NfuoKzxYmy5vUZEhJog=,5,0.1,0,9,20100201,20180519,1138
CQU6SwTpa1CgTBSzopJbhusY/AMMtZ86s5OwvteNG6A=,5,0.04,0,7,20120118,20170913,1096
YQiox2a4tbRbNBaL+VfOLH8oea77HPJMPWRh8euXZqM=,13,0.1,0,3,20120523,20180523,2829
e/EVHtTBqM0rVjpvEtfR0xSLVEaoeWIMiY6r3K83SZ8=,5,0.28,0,9,20130819,20171107,3253
9WZ0kKejXv15wlaSDr2CyguJHZ56S+eRJqdL0KrIkc8=,15,0.24,0,9,20140927,20170816,861
WRwcfUKwDVQ46cylDQ1Tf8ayTojVYeh/00m0ubVNxQo=,5,0.78,1,9,20100722,20171003,2656
XVp0xT4bLnQFCzr6ptp6yr5lU8x6ubPbUEQ/GY3t6To=,1,0.26,0,7,20110412,20170912,2756
J5lyn5dhBf8LIewo/yBJwO3zdshwrBx5diI9rP/NgBs=,1,0.54,1,7,20100608,20180106,1604
ZSGZjr2WItyAO3GPA3Q4PMAgxXV3w+2CjG6W997KGrY=,4,0.08,0,3,20141106,20180122,2919
QZA3UNl0IPW7jF5AO1ZW/efXApnIEv+vJGcl0HkZsGU=,1,0.26,0,7,20110128,20170930,2172
IxtJTJmxOAx3G7BbP3Bm8D1jxLnKn1IARY8HHPGh0YI=,22,0.22,0,3,20150112,20170224,1593
/qQpt7bPkns/GVJ6/LYJr5MNQGbqMOg3GYoEEubQPIE=,9,0.2,0,7,20151026,20170511,127
aNuaRb3Kn3TFhdwkkwTESnd9zf6zwdSZLFovc6v/lJ4=,6,0.16,0,4,20160214,20171020,2991
qJSy1ZgSVDR2opLMejUBVxzq9Gz0cK6g+aS5uY7Q0Ic=,1,0.26,0,7,20150810,20170910,4241
2280JdzqfTNyOHJOtbwpF2+ulteGeLrKVZlu7aCkju0=,14,1.0,1,9,20060227,20180610,297
DIkkCsQiSIz/VINZSKvRW8kMYt8+0G2UR5a8eJYHC4E=,13,0.12,0,9,20160425,20180916,1159
8hAd6Kuas+22kMym0EHRw04oCoL0aexNd7HwK1hb4to=,1,0.26,0,7,20151003,20171003,799
BE5kDeZbVkGNkOm3QAvReRk7SN6DmPIusFXJa0+Bq4g=,13,0.56,1,9,20110123,20170914,997
e3lTQvRhADVQXUOFr3L246AglSNrH3WKDBnLtFnkr1g=,11,0.26,0,7,20140504,20180110,3262
bo/M7s1iMkI6/h1lshVmqRKh7hH/p5H+ClRclIZaQYA=,15,0.26,0,3,20140401,20170915,3099
QO6ELI6v70XlBDgxtmWivAPxZY/kVgEm3pQIKyYM14g=,22,0.04,0,3,20150625,20170921,2157
OucMPB66vqcmmyVyoB107E2JnPTjRZGqjTC7hresLdQ=,5,0.22,0,9,20101126,20171010,2056
oUIQw8R8KfXYXNfpjv6vlP+T2SLby9f0N+lmHCErcMs=,3,0.82,1,9,20090402,20171219,4073
W2n10m07mYchX+w9rhZlZlBV9/z509gNI5DtiJMXJxk=,13,0.12,0,9,20091026,20170915,2618
g6ylSvkjQXIpIgrymNxOZG3gXoiA47VUNqiKsYCMXHM=,11,0.26,0,9,20150408,20170907,3425
jWrg65Ox9D4zBVJWpKb+yqaR2fyHOpZx5QMZXwEMdUI=,13,0.1,0,9,20110521,20171007,3680
EDtYgLwQRLNdLQ9ENKO4OQeEKXX/ZPNy8tWZXvT/hUY=,5,0.08,0,3,20130616,20170910,1224
W9ATyrWE1vk2NjzZH841wQcVlLsEPWU8N5yUJ/vQpkU=,13,0.34,0,9,20071202,20170920,2629
jnNWelx1kVHiFK9N5ba2cyrQNQQ8ZzulOkHFDL2s0lU=,11,0.3,0,9,20160315,20170928,3699
N0Z83I6/S6a6ctMU5gQtVVQi1A9XTA/YqxBftxHsNH4=,4,0.3,0,9,20151009,20180210,1909
LFpkiMEoXmhUN4yj/3a0wA1H/jtfI7jglI5RaJMK1iM=,4,0.3,0,7,20111218,20170923,1780
Z/HRl18zbtddYbyitJge6dbXBKqbEZnVa3RI1bjQgZM=,4,0.28,0,3,20150110,20170920,2883
hZHtPRdO0B5GIPfsjoiBs/FL7idyYrsqJ5HTbFeCj7Y=,5,0.52,1,9,20150115,20170916,3538
8ikWVR/qcZsNJHEBXHAfDlzNwjd5Wy4FKklug5x9Vqw=,1,0.26,0,7,20140115,20170917,805
AOBgvUZD+cZzFbThk/d0NFmisCuB7jzoWrN8iTMc82U=,3,0.1,0,9,20121027,20170908,929
QsqTVFGaOLQT01v53rux+2MAwOO2dJTzdjpk8mopKZ8=,5,0.28,0,9,20110417,20171020,2188
g5YMd9Ae4fSXwfe2KBabFU05fwyNebv8tFLqmqJvW1I=,6,0.16,0,3,20140304,20171221,3422
wobMEyGx2iCkFu27/HPRJIky3S8tO/rS8Rr+tsvEe0k=,4,0.16,0,3,20120520,20171005,4737
sgwOnr5odZA8MIG3b4P+vsGiz2UCfEKnRn6B5KV9Exs=,13,0.38,0,9,20121031,20190405,4443
YqtKhiDOFJ/gdd2V4AFdnVwGMMaA0yUEbb8w7xuoP7I=,5,0.16,0,9,20141223,20171012,2865
fMiUBSS4a13XN9T5OEQ/zpZsiBW5iUiGrgYoibc1oSM=,8,0.06,0,7,20160625,20170930,3362
+7y3Yut0jtR9XNHSXNOgNy64F9bBF8pzBhN1fGIw23M=,1,0.26,0,7,20121112,20171006,13
kCDNFD0P75jIXiEq4WpUVv4izrcRKUuHvIG3i64ol9I=,15,0.3,0,9,20051113,20170921,3732
JZ2zUQZl1tLIn2fc9tY+uWZBQFfcckpvhNFjWPbfqNs=,5,0.26,0,3,20140124,20171005,1640
ZP6J0nyJkbvQBk58+uQ06MlVHvXNV4FKgZB3QDCzJfY=,22,0.3,0,3,20131125,20171001,2914
a1d2KnoIq+/QdPaHUojFU7jnze1HDUxu5VFHJ2hti2w=,1,0.26,0,7,20160422,20170921,2955
0VZ7EG//hDGKDaloF7bzxbYYK0ujPbtCV7KyhVoQoJM=,15,0.28,0,9,20110911,20170930,188
78bhmAbpFK8qHmA4Gl1rpAiBS4VOVgf3Vhfvd08dnmU=,5,0.44,0,9,20130116,20181019,692
CPdb0nraYriUl70bQjTLXcwGa0qhR2R2tdP+R9je/0E=,10,0.46,0,9,20070813,20170912,1094
m+e1egs/9lWlLAcffetc5h1CrkOHW4A1xhJpYA2k7cw=,5,0.2,0,7,20110811,20180521,3876
MWf2cJpqFeUkq8jLnueXizlatm55SyIvWgqhvfE+0v0=,1,0.26,0,7,20110915,20171007,1864
QUD+QLfXNFDn0hGPQDld+o/8AuusLW5A79kiRuxc57Q=,21,0.24,0,7,20160331,20170930,2166
YzJG6KZMPTc8GpZOeAfbAwpXsT5hxr2t2KUzn1gPLb0=,14,0.36,0,3,20150224,20180715,2879
dlM6M9bv+apNJd+WjsyP9g7XqHmLQbAXJ7B4AmFUuS4=,1,0.26,0,7,20110929,20171101,3234
L/UA8dwsh8TGCDCSft8EyNGf/lNnKLtPpoE3L67EkMo=,1,0.26,0,7,20131116,20171003,1758
x77WBdp+KGE9tVX20TrjKHs7lB0MyUgqGvDq/VADT0o=,3,0.12,0,3,20150612,20170828,4766
zsE0k3nRsiZ5QZoFigPkhkhg/2qD0Oed1RkqTB5pfro=,18,0.16,0,9,20140422,20171023,4994
Q3LJkGP72SJdNeu/wthB5jEsQmosH6s7o4qtcaiSKmc=,4,0.24,0,9,20060922,20171002,2141
CZsFcP++PDmHHnWVCZTDx9wEPdT21rEWYuWDtr9aPlQ=,4,0.34,0,9,20091016,20170907,1108
jyIZsPIrl6CkbnMUMckGL1TszYefN76Mdsk34+l/znw=,1,0.26,0,7,20160918,20170917,3710
pFXNS7KR96QDNKt4CyU6fxozAjdFHbsmG2fPUbd4oLQ=,13,0.64,1,9,20050220,20170914,4147
vVPYzaK8XSBdO2GLhe8e+YKOUKfc88Zwu7LmWvVSl5w=,4,0.26,0,9,20041228,20170930,4656
sPRnJdlNkAJY4xewAcLZZLWvcVW32OJYk2PVn4zBeHg=,1,0.26,0,7,20150825,20170911,4412
S5wRP43CyQpkn0T9CwUumjm822TMiIDMXl8r3OHVedE=,1,0.26,0,7,20150902,20170807,2295
Bkc+YXmyKekqToY040sOp2ZfXvMYaRNFB7ZoMAXiKiQ=,15,0.14,0,4,20160811,20171019,1035
LSYDVFYuAj/3ioTY6eXeQNC4Xl+IZFqR/kDI5ot9sig=,1,0.26,0,7,20151223,20170923,1797
7DvTAEwUwz01AP15As/BcQsAVM99hC19w00BLUgXwEg=,5,0.7,1,9,20140224,20171001,696
xS0MS5BJIS/tLHcNez4K9oiQivMQiPkgGs9Xmmb4E0k=,4,0.04,0,9,20130203,20180117,4797
1h+JiIhVSZznOtFYTQl+l+OjoupO0QXV1sYoJVkH1e4=,13,0.22,0,9,20110119,20171001,270
czqTr8/kBbDN5m9fOh80hvrSszvaJF0imWgHKZxp6Jw=,1,0.26,0,9,20160626,20170917,3186
ngqupm+stNsl6kFh8vNXQ6Mq7ZIgenSuZCOmDyX0OZo=,22,0.26,0,9,20111027,20171005,4021
L9zh+TXRTRMUo7GFz1LxKOjwrj//qVTaU6URDqpl29g=,5,0.24,0,3,20150912,20170812,1774
fh8j9kHu1ALpGZ+SCPGxd8Vp2INl7LF2d5d7SpTs0j0=,1,0.26,0,7,20111229,20171005,3389
tQdPgAoNxhYtWFqQcqqdWOEFJpxIbLb+OS1aTTRHXaY=,4,0.18,0,3,20130802,20180307,4505
mv7qExDqeCjN6T06YosE7jhCRrLBj1XvM9MHsEyWFmM=,1,0.26,0,7,20160203,20171002,3950
/6oQfMalQ/1SWl0mhx5opnih3CgK4Rszpf7lcy8SOTY=,13,0.18,0,9,20141225,20170925,75
mdc75mqmDTdotiOVa9DVyNPQ+wivAJTczw1g9/rj+EU=,1,0.26,0,7,20110712,20170909,3929
r7sjvzb3/rDmmZYL9uXJwJQ3DGEiCFFP+JS7sC6j62E=,1,0.26,0,7,20151031,20170930,4297
iAGMo6SuHukbGEHPBSD+3pqI+Bx2J43vXRn08lE4kxk=,4,0.2,0,7,20110324,20171004,3590
K43ve5azRaGqxeIfakbGrTYOJ4oUWx8+VtKWFqNxS7M=,1,0.26,0,7,20151025,20171025,1687
FujxsWacsycWMU/psTuygq0Q3y+z6rtqPgYre2djLNg=,1,0.26,0,3,20130405,20170321,1355
n4bLu8Q/XUUWDnIFZNAYLnbZk4Pq4qpmHIHJljMO8jc=,4,0.24,0,9,20150402,20170817,3966
rW1oRbqqF0a5TPMFV3r0TO2wT+YBbD7SfKcoV3ZCqZo=,1,0.26,0,7,20160312,20171004,4336
U7mkKsITN/Arxrln3CDnML0+O/rqHci56Z65QpODhdg=,13,0.42,0,9,20070321,20171115,2452
HAd7eRHKauVGxejteu+BcAFNqlDzb7jqgfGstIMeNm0=,6,0.52,1,7,20160320,20170919,1450
pJxMd9PL/N7CdwTwKu3YqiqYSRAJHuejlrTonaPfPfU=,13,0.18,0,9,20060415,20171019,4155
VvyhS0HkNHftI4FSO20YuhdYzj85pWdpeNRp+OILG6o=,13,0.16,0,3,20120731,20170911,2606
WVb4+Mcg+jqc5ydzsEHFhYUEGSje+Bp9XwtfpYDSuTM=,1,0.26,0,7,20151208,20170908,2658
baemFqI4x+fpHweCJQeb64jdSmOWUKkJuwK5BrgcsX0=,1,0.26,0,3,20130520,20171001,3074
CEjOqVdP7Xh3J1mte4si0A+GzQ9Hyg4mNE3DSMGsO9I=,13,0.28,0,9,20080903,20171001,1078
/K5x6WOg05l4gSFxUIpVDZ52TIsJ1yL851+WbEkvQq4=,15,0.16,0,3,20130507,20171018,90
mB84nvaEcDs1SCG0+kkYz0E27/jq+SwK2HR9vRwFL1s=,4,0.28,0,7,20111124,20170917,3896
KDxm1y4kVViQNzT6knEpVaHjZ4TkCSuJ1909bw1B8oI=,1,0.26,0,7,20150204,20171005,1702
TjGCJjFxMTvMz9MvY9mj4p9EWybtLp5PrPSUiAO5cnw=,22,0.12,0,9,20110927,20180626,2421
Ru6+wSyKeRB6cXA22l4ceRH7hZjkq6EUFucbR9yX3JY=,13,0.28,0,9,20120606,20171231,2270
Ak0Jv/3iBFwR2znIMor47txnurKVFk8zUPxLcG2F7mE=,5,0.76,1,9,20090827,20170409,956
XhrDikcCiZDE9lG4LsxSolvrtnQPCCITn6zKHT23H2s=,1,0.26,0,7,20150806,20170615,2771
Z56mxjHqnR1FK1d5gkf5ARTxwZF8h0HPI+rHFGRrMHo=,6,0.26,0,9,20150825,20170927,2893
X7io4sH1XFx7Nn2Kv4yr4zESvRvflpCKJ88QyXmllDw=,12,0.24,0,9,20080401,20170914,2714
yrkYM77J1v8lqpalQFD84iI7r/AeYT7+N7LXI6W7uGQ=,15,0.1,0,3,20121203,20171109,4895
uT2SSdyEleButby2N/E0/EbSD0dCLJkwanlg4ArEnXs=,1,0.26,0,7,20130110,20170922,4586
QyDD3tWN4BIYqVAq9aQnHIeSLgFBbzJ3VAQ4nVgNTao=,1,0.26,0,7,20110629,20171001,2194
rFw0oTNusma/MoJTJ051O02CYh5uRq6jibWhSVTZfxY=,1,0.26,0,7,20150616,20170912,4313
6Lh1z+BJq4GaiktHsGN/23tjkkZ9iHw96fzk+GZC63g=,17,0.7,1,9,20050218,20171029,629
IoFzVY73OiKpfW3sPEEt+2s6do9xaFZCasuYKZiXQYw=,13,0.44,0,9,20160110,20171128,1581
